question_type,dataset,family,model,prompt,calib_size,transfer_type,target,source,median_acc,raw_acc,delta_acc,median_bias,raw_bias,delta_bias,median_rstd,raw_rstd,delta_rstd
yesno,EWOK,Falcon,Falcon3-3B-Base,instronly,10,baseline,EWOK,EWOK,0.6254681647940075,0.5585205992509363,0.06694756554307113,0.19803370786516855,0.8548689138576779,-0.6568352059925093,,,
yesno,EWOK,Falcon,Falcon3-3B-Base,instronly,20,baseline,EWOK,EWOK,0.6264044943820225,0.5585205992509363,0.06788389513108617,0.12968164794007492,0.8548689138576779,-0.7251872659176031,,,
yesno,EWOK,Falcon,Falcon3-3B-Base,instronly,50,baseline,EWOK,EWOK,0.6259363295880149,0.5585205992509363,0.0674157303370786,0.06320224719101124,0.8548689138576779,-0.7916666666666667,,,
yesno,EWOK,Falcon,Falcon3-3B-Base,instronly,100,baseline,EWOK,EWOK,0.6255898698732846,0.5585205992509363,0.06706927062234824,0.04307116104868914,0.8548689138576779,-0.8117977528089888,,,
yesno,EWOK,Falcon,Falcon3-3B-Base,instronly,200,baseline,EWOK,EWOK,0.6254681647940075,0.5585205992509363,0.06694756554307113,0.05056179775280899,0.8548689138576779,-0.8043071161048689,,,
yesno,EWOK,Falcon,Falcon3-3B-Base,instronly,300,baseline,EWOK,EWOK,0.6259363295880149,0.5585205992509363,0.0674157303370786,0.033707865168539325,0.8548689138576779,-0.8211610486891386,,,
yesno,EWOK,Falcon,Falcon3-3B-Base,instronly,400,baseline,EWOK,EWOK,0.6259363295880149,0.5585205992509363,0.0674157303370786,0.0299625468164794,0.8548689138576779,-0.8249063670411986,,,
yesno,EWOK,Falcon,Falcon3-3B-Base,instronly,500,baseline,EWOK,EWOK,0.6264044943820225,0.5585205992509363,0.06788389513108617,0.03000065325320094,0.8548689138576779,-0.824868260604477,,,
yesno,EWOK,Falcon,Falcon3-3B-Instruct,instronly,10,baseline,EWOK,EWOK,0.6814138576779026,0.6811797752808989,0.000234082397003732,0.18825765130864525,0.2406367041198502,-0.052379052811204946,,,
yesno,EWOK,Falcon,Falcon3-3B-Instruct,instronly,20,baseline,EWOK,EWOK,0.6863295880149812,0.6811797752808989,0.005149812734082326,0.11095505617977527,0.2406367041198502,-0.12968164794007492,,,
yesno,EWOK,Falcon,Falcon3-3B-Instruct,instronly,50,baseline,EWOK,EWOK,0.6882022471910112,0.6811797752808989,0.0070224719101122934,0.09644194756554307,0.2406367041198502,-0.14419475655430714,,,
yesno,EWOK,Falcon,Falcon3-3B-Instruct,instronly,100,baseline,EWOK,EWOK,0.6896067415730337,0.6811797752808989,0.008426966292134797,0.09222846441947566,0.2406367041198502,-0.14840823970037453,,,
yesno,EWOK,Falcon,Falcon3-3B-Instruct,instronly,200,baseline,EWOK,EWOK,0.6907894736842105,0.6811797752808989,0.009609698403311606,0.10018726591760299,0.2406367041198502,-0.1404494382022472,,,
yesno,EWOK,Falcon,Falcon3-3B-Instruct,instronly,300,baseline,EWOK,EWOK,0.6910112359550562,0.6811797752808989,0.0098314606741573,0.09831460674157304,0.2406367041198502,-0.14232209737827717,,,
