Question_Type,Dataset,Model_Family,Target_Model,Transfer_Type,median_acc,q25_acc,q75_acc,bias_median,best_acc,worst_acc
NLI,MNLI,Llama3,Llama-3.1-8B,Cross,0.4703,0.4595,0.4798,0.3846,0.5033,0.4272
NLI,MNLI,Llama3,Llama-3.1-8B,Same,0.5627,0.5613,0.5637,0.1,0.5698,0.5566
NLI,MNLI,Llama3,Llama-3.1-8B-Instruct,Cross,0.6497,0.6473,0.6516,0.1443,0.6561,0.6371
NLI,MNLI,Llama3,Llama-3.1-8B-Instruct,Same,0.666,0.6651,0.667,0.0662,0.6763,0.6624
NLI,SNLI,Falcon,Falcon3-10B-Base,Cross,0.647,0.6393,0.6548,0.2991,0.6923,0.6223
NLI,SNLI,Falcon,Falcon3-10B-Base,Same,0.7581,0.7565,0.7596,0.1033,0.7763,0.7521
NLI,SNLI,Falcon,Falcon3-10B-Instruct,Cross,0.8773,0.8748,0.8794,0.0563,0.882,0.8659
NLI,SNLI,Falcon,Falcon3-10B-Instruct,Same,0.8906,0.8898,0.8914,0.0256,0.8937,0.883
NLI,SNLI,Falcon,Falcon3-3B-Base,Cross,0.4531,0.4405,0.4692,0.5299,0.4946,0.4127
NLI,SNLI,Falcon,Falcon3-3B-Base,Same,0.5572,0.5538,0.5593,0.1399,0.566,0.5454
NLI,SNLI,Falcon,Falcon3-3B-Instruct,Cross,0.6614,0.6592,0.6627,0.1701,0.6662,0.6542
NLI,SNLI,Falcon,Falcon3-3B-Instruct,Same,0.6752,0.6735,0.6768,0.1403,0.6972,0.6681
NLI,SNLI,Gemma3,gemma-3-12b-it,Cross,0.7468,0.7459,0.748,0.1406,0.7499,0.7351
NLI,SNLI,Gemma3,gemma-3-12b-it,Same,0.7414,0.7379,0.7445,0.1186,0.7686,0.7262
NLI,SNLI,Gemma3,gemma-3-12b-pt,Cross,0.5997,0.5957,0.6019,0.3528,0.6194,0.5739
