dataset,model,raw_acc,raw_tvd,raw_rsd,cc_acc,cc_tvd,cc_rsd,bc_acc,bc_tvd,bc_rsd,rb_acc,rb_tvd,rb_rsd
MMLU-HUMANITIES,gemma-3-27b-pt,0.7600,0.0317,0.0259,-0.0233,+0.0792,+0.0643,+0.0117,-0.0042,+0.0220,+0.0117,-0.0167,+0.0139
MMLU-HUMANITIES,gemma-3-27b-it,0.7617,0.0308,0.0462,-0.0042,+0.0142,+0.0054,+0.0017,-0.0100,-0.0116,-0.0017,-0.0075,-0.0132
MMLU-HUMANITIES,gemma-3-12b-pt,0.7375,0.0492,0.0586,-0.0583,+0.1792,+0.1748,+0.0075,-0.0208,-0.0087,+0.0075,-0.0108,-0.0102
MMLU-HUMANITIES,gemma-3-12b-it,0.7342,0.0608,0.0829,-0.0058,+0.0133,+0.0098,+0.0033,-0.0033,-0.0112,+0.0042,-0.0017,-0.0098
MMLU-OTHERS,Falcon3-3B-Base,0.5425,0.0917,0.0981,+0.0142,-0.0325,-0.0032,+0.0233,-0.0667,-0.0771,+0.0142,-0.0658,-0.0394
MMLU-OTHERS,Falcon3-3B-Instruct,0.5542,0.0325,0.0349,-0.0033,+0.0033,-0.0151,+0.0033,+0.0042,+0.0237,+0.0008,+0.0117,+0.0315
MMLU-OTHERS,Falcon3-10B-Base,0.6883,0.0492,0.0730,+0.0008,+0.0350,+0.0397,-0.0050,-0.0142,-0.0357,-0.0083,-0.0042,-0.0358
MMLU-OTHERS,Falcon3-10B-Instruct,0.6792,0.0200,0.0456,+0.0075,+0.0317,+0.0531,+0.0050,-0.0067,-0.0009,+0.0008,+0.0125,+0.0135
MMLU-OTHERS,Llama-3.1-8B,0.6475,0.0942,0.0930,-0.1092,+0.3017,+0.3875,+0.0033,+0.0075,+0.0111,+0.0008,+0.0417,+0.0511
MMLU-OTHERS,Llama-3.1-8B-Instruct,0.6783,0.0275,0.0343,-0.0067,+0.0850,+0.1207,-0.0025,+0.0017,+0.0339,+0.0000,+0.0300,+0.0619
MMLU-OTHERS,Llama-3.1-70B,0.7692,0.0267,0.0457,-0.0333,+0.1075,+0.1141,-0.0092,+0.0308,+0.0054,-0.0142,+0.0317,+0.0078
MMLU-OTHERS,Llama-3.1-70B-Instruct,0.7825,0.0392,0.0329,-0.0033,+0.0133,+0.0405,+0.0075,-0.0067,+0.0056,+0.0000,+0.0075,+0.0196
MMLU-OTHERS,gemma-3-27b-pt,0.7567,0.0533,0.0553,-0.0292,+0.1100,+0.1161,+0.0083,-0.0367,-0.0394,+0.0042,-0.0342,-0.0400
MMLU-OTHERS,gemma-3-27b-it,0.7458,0.0142,0.0185,+0.0017,+0.0117,+0.0116,+0.0050,-0.0058,+0.0007,+0.0042,-0.0017,+0.0052
MMLU-OTHERS,gemma-3-12b-pt,0.7425,0.0333,0.0487,-0.0808,+0.2283,+0.2036,-0.0008,-0.0233,-0.0232,+0.0017,-0.0158,-0.0120
MMLU-OTHERS,gemma-3-12b-it,0.7275,0.0325,0.0239,+0.0000,-0.0017,+0.0098,+0.0017,-0.0075,-0.0086,+0.0017,-0.0083,-0.0058
MMLU-SOCIAL_SCI,Falcon3-3B-Base,0.5817,0.1158,0.1572,+0.0183,-0.0775,-0.0935,+0.0175,-0.0958,-0.1352,+0.0117,-0.0817,-0.1278
